actual_price,predicted_price,fair_value_signal,position
5.52,28.142565,22.622565,LONG
18.86,34.862125,16.002125,LONG
23.01,40.616238,17.606238,LONG
17.32,39.000607,21.680607000000002,LONG
7.47,32.26806,24.79806,LONG
3.74,30.59361,26.853610000000003,LONG
5.52,31.092077,25.572077,LONG
-6.07,30.126093,36.196093000000005,LONG
-6.64,28.905489,35.545488999999996,LONG
-14.0,27.217499,41.217499000000004,LONG
-17.66,28.720041,46.380041,LONG
-13.6,28.306665,41.906665,LONG
-6.97,30.948132,37.918132,LONG
5.42,34.477592,29.057592,LONG
33.78,42.17059,8.390589999999996,LONG
49.82,48.04197,-1.778030000000001,HOLD
51.29,49.47243,-1.8175699999999964,HOLD
47.7,46.598495,-1.101505000000003,HOLD
49.82,46.14915,-3.6708500000000015,HOLD
46.72,52.278408,5.558408,LONG
44.54,46.13516,1.59516,HOLD
42.28,36.32531,-5.954689999999999,SHORT
43.71,34.637863,-9.072136999999998,SHORT
47.04,38.878803,-8.161197000000001,SHORT
47.46,41.704586,-5.755414000000002,SHORT
50.11,46.147026,-3.9629740000000027,HOLD
51.67,44.603836,-7.0661640000000006,SHORT
49.51,42.645454,-6.864545999999997,SHORT
48.9,35.546707,-13.353293,SHORT
44.54,33.46612,-11.073880000000003,SHORT
42.14,27.848467,-14.291533000000001,SHORT
37.71,15.779985,-21.930015,SHORT
35.59,15.084052,-20.505948000000004,SHORT
34.91,11.925207,-22.984792999999996,SHORT
33.4,15.449952,-17.950048,SHORT
32.53,14.74219,-17.78781,SHORT
30.07,13.629445,-16.440555,SHORT
33.39,16.170238,-17.219762,SHORT
45.4,33.2093,-12.1907,SHORT
54.66,46.039997,-8.620002999999997,SHORT
58.44,46.51625,-11.923749999999998,SHORT
58.59,43.429592,-15.160408000000004,SHORT
57.87,46.737865,-11.132134999999998,SHORT
55.25,40.65102,-14.598979999999997,SHORT
52.78,42.256783,-10.523217000000002,SHORT
51.58,39.15553,-12.42447,SHORT
51.13,40.73552,-10.394480000000001,SHORT
50.8,39.97047,-10.829529999999998,SHORT
48.02,39.217678,-8.802322000000004,SHORT
51.52,35.93062,-15.589380000000006,SHORT
46.92,37.588974,-9.331026000000001,SHORT
44.07,35.19128,-8.878720000000001,SHORT
41.53,37.74858,-3.7814200000000042,HOLD
39.85,36.526653,-3.3233469999999983,HOLD
39.05,33.734905,-5.3150949999999995,SHORT
31.29,21.710773,-9.579227,SHORT
29.62,19.429935,-10.190065,SHORT
29.43,23.05882,-6.371179999999999,SHORT
30.92,22.79046,-8.129540000000002,SHORT
31.2,21.903482,-9.296517999999999,SHORT
31.92,23.698376,-8.221624000000002,SHORT
34.14,26.578953,-7.561047000000002,SHORT
46.34,37.574673,-8.765327000000006,SHORT
54.65,46.369015,-8.280985000000001,SHORT
58.16,48.23392,-9.926079999999999,SHORT
56.83,49.47974,-7.350259999999999,SHORT
56.75,46.536327,-10.213673,SHORT
56.24,44.00707,-12.232930000000003,SHORT
54.12,39.80218,-14.317819999999998,SHORT
53.6,35.954296,-17.645704000000002,SHORT
53.64,35.762207,-17.877793000000004,SHORT
54.32,45.816036,-8.503964000000003,SHORT
55.3,45.86623,-9.433769999999996,SHORT
56.12,46.387012,-9.732987999999999,SHORT
53.87,42.38764,-11.48236,SHORT
51.24,44.491596,-6.748404000000001,SHORT
42.9,38.4747,-4.4253,HOLD
41.05,39.558853,-1.491146999999998,HOLD
39.98,38.016678,-1.963321999999998,HOLD
32.25,34.03246,1.7824600000000004,HOLD
28.02,33.39869,5.378690000000002,LONG
27.0,31.827868,4.827867999999999,HOLD
24.04,33.68765,9.647649999999999,LONG
25.28,33.869194,8.589193999999999,LONG
26.48,34.182526,7.702526000000002,LONG
28.97,33.35661,4.386610000000005,HOLD
38.87,43.83585,4.965850000000003,HOLD
48.39,54.695194,6.305194,LONG
51.34,56.156624,4.816623999999997,HOLD
51.6,57.02209,5.422089999999997,LONG
49.96,56.460686,6.500686000000002,LONG
48.92,56.245174,7.325173999999997,LONG
46.47,47.528954,1.058954,HOLD
48.73,50.791306,2.061306000000002,HOLD
53.56,53.150345,-0.40965500000000077,HOLD
54.43,54.68394,0.25394000000000005,HOLD
57.0,55.240833,-1.759166999999998,HOLD
59.11,63.19651,4.086510000000004,HOLD
56.28,60.088062,3.8080619999999996,HOLD
54.34,53.407,-0.9330000000000069,HOLD
50.31,47.29553,-3.014470000000003,HOLD
45.18,44.086838,-1.0931619999999995,HOLD
44.55,41.58167,-2.9683299999999946,HOLD
41.16,36.56669,-4.593309999999995,HOLD
43.24,37.17631,-6.063690000000001,SHORT
