actual_price,predicted_price
50.78,34.063957
58.38,41.85281
71.73,48.785126
78.25,51.173534
78.99,53.921432
78.23,51.31794
77.5,48.01168
75.04,45.93096
74.25,46.531185
74.8,47.44227
74.56,48.818054
76.23,48.999325
82.6,51.066616
82.38,51.066616
76.89,51.99234
72.19,53.87278
66.78,52.605072
60.5,48.492306
53.77,43.97194
50.76,43.2775
48.8,37.93731
47.27,36.911575
46.17,38.092224
46.88,37.342503
47.23,43.483295
53.69,44.482777
63.74,56.86185
64.01,66.22893
64.21,65.36552
61.7,65.33252
60.71,64.54109
55.12,59.357857
52.97,57.97975
49.54,58.255352
46.89,58.98577
47.5,58.90055
52.93,61.02728
50.9,59.841583
48.9,63.57799
45.76,51.064842
44.44,42.89256
43.98,40.902832
40.41,41.27412
45.26,36.08959
44.34,34.62171
43.06,35.095356
41.9,33.209644
41.24,34.383053
40.43,27.683828
42.97,30.464691
44.2,32.374374
44.81,34.47373
47.3,43.7181
46.77,43.221916
46.26,40.14267
44.1,43.93287
40.05,43.97027
38.26,42.507027
35.93,37.346775
36.81,40.331505
42.74,45.882576
44.64,46.85293
39.21,46.27201
37.43,37.361103
30.61,36.19474
35.14,35.60329
27.55,30.094505
23.18,29.594912
16.89,28.343288
16.88,27.85822
18.86,26.493395
19.58,26.317286
19.67,22.204678
17.9,23.656656
21.57,26.516884
22.84,29.25249
25.22,33.96499
26.19,32.295746
28.96,33.547504
26.17,34.150364
12.48,27.602932
5.22,28.61788
5.38,28.164757
5.52,28.142565
18.86,34.862125
23.01,40.616238
17.32,39.000607
7.47,32.26806
3.74,30.59361
5.52,31.092077
-6.07,30.126093
-6.64,28.905489
-14.0,27.217499
-17.66,28.720041
-13.6,28.306665
-6.97,30.948132
5.42,34.477592
33.78,42.17059
49.82,48.04197
51.29,49.47243
47.7,46.598495
49.82,46.14915
46.72,52.278408
44.54,46.13516
42.28,36.32531
43.71,34.637863
47.04,38.878803
47.46,41.704586
50.11,46.147026
51.67,44.603836
49.51,42.645454
48.9,35.546707
44.54,33.46612
42.14,27.848467
37.71,15.779985
35.59,15.084052
34.91,11.925207
33.4,15.449952
32.53,14.74219
30.07,13.629445
33.39,16.170238
45.4,33.2093
54.66,46.039997
58.44,46.51625
58.59,43.429592
57.87,46.737865
55.25,40.65102
52.78,42.256783
51.58,39.15553
51.13,40.73552
50.8,39.97047
48.02,39.217678
51.52,35.93062
46.92,37.588974
44.07,35.19128
41.53,37.74858
39.85,36.526653
39.05,33.734905
31.29,21.710773
29.62,19.429935
29.43,23.05882
30.92,22.79046
31.2,21.903482
31.92,23.698376
34.14,26.578953
46.34,37.574673
54.65,46.369015
58.16,48.23392
56.83,49.47974
56.75,46.536327
56.24,44.00707
54.12,39.80218
53.6,35.954296
53.64,35.762207
54.32,45.816036
55.3,45.86623
56.12,46.387012
53.87,42.38764
51.24,44.491596
42.9,38.4747
41.05,39.558853
39.98,38.016678
32.25,34.03246
28.02,33.39869
27.0,31.827868
24.04,33.68765
25.28,33.869194
26.48,34.182526
28.97,33.35661
38.87,43.83585
48.39,54.695194
51.34,56.156624
51.6,57.02209
49.96,56.460686
48.92,56.245174
46.47,47.528954
48.73,50.791306
53.56,53.150345
54.43,54.68394
57.0,55.240833
59.11,63.19651
56.28,60.088062
54.34,53.407
50.31,47.29553
45.18,44.086838
44.55,41.58167
41.16,36.56669
43.24,37.17631
42.6,34.723736
44.57,34.52399
45.02,34.65467
46.49,35.817726
49.11,40.163536
54.41,44.235813
71.34,52.49596
75.93,53.283325
74.86,51.544613
71.5,51.595257
69.97,50.61755
68.31,45.235332
66.09,45.77571
67.69,46.541153
69.22,48.287598
71.66,47.955566
78.17,52.623737
78.26,51.54542
72.84,48.696526
64.92,47.24198
60.19,42.813408
57.67,41.70029
53.19,38.730297
53.08,40.701252
52.46,36.13762
53.45,39.147858
51.12,38.422005
52.25,38.2387
50.92,45.100563
51.31,43.703064
53.16,42.985237
57.21,41.965176
59.28,44.1629
62.57,44.29055
58.87,46.33193
56.88,44.9671
55.44,40.755608
54.28,40.859062
56.29,44.81849
61.72,48.481987
67.49,52.793747
68.26,51.255875
59.58,49.56757
56.58,45.20668
52.94,41.122826
52.43,40.908768
49.48,38.086422
50.39,37.109474
48.59,36.934048
49.17,38.233524
48.94,36.40182
48.56,36.86243
48.27,33.815987
47.58,32.78317
48.3,35.72951
52.58,38.308933
55.24,43.034412
54.47,46.33517
54.21,41.621746
53.58,42.696747
51.56,40.77831
54.55,42.109863
56.04,46.261322
59.35,47.848297
67.06,57.139328
68.97,59.31633
68.09,50.50841
67.06,48.195618
59.81,46.283855
60.5,46.281734
54.78,42.042904
56.02,42.851727
52.75,53.305042
52.81,56.77591
51.88,53.305042
51.14,53.7983
54.01,55.78141
68.26,55.566154
82.32,79.23287
92.39,98.748344
90.06,94.01383
83.81,91.51156
77.95,74.70531
72.99,68.90937
73.78,62.929646
73.51,60.782673
76.77,68.770996
80.06,80.21634
89.12,88.84799
88.19,88.05785
81.21,80.68714
74.48,70.54261
67.17,56.033844
61.52,58.683052
55.96,55.906727
54.5,55.146614
53.72,55.125656
